Interation;Algorithm;DatasetName;DatasetSize;Time Insere;Counter Comparisons Insere;Time Pesquisa;Counter Comparisons Pesquisa;Time Retira;Counter Comparisons Retira
0;avlTree;Ordered;10;0.021;14;0.001;7;0.001;9;
0;binarySearch;Ordered;10;0.179;8;0.001;4;0;10;
0;binarySearchTree;Ordered;10;0.004;15;0.001;13;0.001;3;
0;linearSearch;Ordered;10;0.003;8;0;12;0;13;
0;redBlackTree;Ordered;10;0.004;21;0.001;8;0.002;17;
0;treapTree;Ordered;10;0.004;1;0.001;3;0.001;2;
0;avlTree;OrderedInverse;10;0.003;12;0.001;7;0.001;11;
0;binarySearch;OrderedInverse;10;0.006;13;0.001;4;0;5;
0;binarySearchTree;OrderedInverse;10;0.003;11;0.001;9;0.001;3;
0;linearSearch;OrderedInverse;10;0.004;8;0;12;0;13;
0;redBlackTree;OrderedInverse;10;0.004;18;0.001;7;0.002;18;
0;treapTree;OrderedInverse;10;0.003;1;0.001;3;0;1;
0;avlTree;AlmostOrdered;10;0.003;14;0.001;7;0.001;10;
0;binarySearch;AlmostOrdered;10;0.003;8;0.001;4;0.001;9;
0;binarySearchTree;AlmostOrdered;10;0.003;14;0.001;12;0;3;
0;linearSearch;AlmostOrdered;10;0.003;8;0.001;12;0.001;13;
0;redBlackTree;AlmostOrdered;10;0.004;20;0.001;8;0.002;18;
0;treapTree;AlmostOrdered;10;0.004;2;0.001;3;0.001;2;
0;avlTree;Random;10;0.003;13;0;7;0.001;11;
0;binarySearch;Random;10;0.003;10;0.001;4;0.001;7;
0;binarySearchTree;Random;10;0.003;10;0.001;8;0.001;5;
0;linearSearch;Random;10;0.003;8;0.001;12;0.001;13;
0;redBlackTree;Random;10;0.003;18;0.001;7;0.001;18;
0;treapTree;Random;10;0.003;2;0.001;3;0.001;2;
0;avlTree;Ordered;100;0.058;29;0.004;14;0.006;17;
0;binarySearch;Ordered;100;0.052;14;0.006;11;0.014;63;
0;binarySearchTree;Ordered;100;0.056;150;0.013;148;0.003;3;
0;linearSearch;Ordered;100;0.06;53;0.011;102;0.022;103;
0;redBlackTree;Ordered;100;0.073;55;0.004;16;0.008;29;
0;treapTree;Ordered;100;0.046;4;0.005;6;0.004;3;
0;avlTree;OrderedInverse;100;0.009;23;0.051;15;0.006;21;
0;binarySearch;OrderedInverse;100;0.057;66;0.005;11;0.004;11;
0;binarySearchTree;OrderedInverse;100;0.058;101;0.011;99;0.003;3;
0;linearSearch;OrderedInverse;100;0.01;53;0.067;102;0.011;103;
0;redBlackTree;OrderedInverse;100;0.052;47;0.004;15;0.009;34;
0;treapTree;OrderedInverse;100;0.009;3;0.047;7;0.004;4;
0;avlTree;AlmostOrdered;100;0.012;27;0.004;15;0.007;18;
0;binarySearch;AlmostOrdered;100;0.009;22;0.006;11;0.014;54;
0;binarySearchTree;AlmostOrdered;100;0.075;119;0.055;117;0.005;7;
0;linearSearch;AlmostOrdered;100;0.063;53;0.022;102;0.086;103;
0;redBlackTree;AlmostOrdered;100;0.079;48;0.005;17;0.01;28;
0;treapTree;AlmostOrdered;100;0.064;6;0.006;8;0.006;4;
0;avlTree;Random;100;0.014;24;0.047;15;0.009;20;
0;binarySearch;Random;100;0.016;40;0.007;11;0.012;35;
0;binarySearchTree;Random;100;0.081;17;0.006;15;0.007;13;
0;linearSearch;Random;100;0.067;53;0.011;102;0.051;103;
0;redBlackTree;Random;100;0.078;32;0.005;15;0.012;28;
0;treapTree;Random;100;0.019;7;0.008;8;0.011;6;
0;avlTree;Ordered;1000;0.293;42;0.184;22;0.151;24;
0;treapTree;Ordered;1000;0.231;6;0.424;11;0.148;5;
0;redBlackTree;Ordered;1000;0.531;92;0.304;24;0.256;43;
0;avlTree;OrderedInverse;1000;0.638;33;0.233;23;0.25;31;
0;redBlackTree;OrderedInverse;1000;0.997;77;0.167;23;0.155;53;
0;binarySearch;Ordered;1000;0.293;20;0.193;19;4.832;522;
0;avlTree;Random;1000;0;binarySearch;OrderedInverse;1000;0.708;36;1.281;23;4.283;32;
12.914;526;1.178;19;0.054;17;
0;treapTree;OrderedInverse;1000;11;6;0.661;11;0.04;5;
0;redBlackTree;AlmostOrdered;1000;8.455;81;0.383;29;0.25;40;
0;linearSearch;Ordered;1000;2.358;503;12.101;1002;4.808;1003;
0;linearSearch;OrderedInverse;1000;2.069;503;12.723;1002;5.395;1003;
0;treapTree;AlmostOrdered;1000;10.824;9;0.072;12;0.542;8;
0;binarySearchTree;OrderedInverse;1000;15.52;1001;6.16;999;0.037;3;
0;treapTree;Random;1000;9.094;11;4.527;12;0.256;11;
0;avlTree;AlmostOrdered;1000;21.705;39;0.183;23;0.564;29;
0;binarySearchTree;Ordered;1000;18.43;1500;11.461;1498;0.035;3;
0;binarySearchTree;Random;1000;17.503;27;0.953;25;0.487;23;
0;binarySearch;AlmostOrdered;1000;13.701;84;0.136;19;10.346;458;
0;redBlackTree;Random;1000;18.106;48;0.467;23;0.931;40;
0;binarySearch;Random;1000;25.22;279;0.7;19;4.316;262;
0;linearSearch;Random;1000;8.465;503;8.722;1002;6.823;1003;
0;binarySearchTree;AlmostOrdered;1000;24.04;1140;4.604;1138;0.053;13;
0;linearSearch;AlmostOrdered;1000;13.591;503;11.033;1002;4.681;1003;
0;avlTree;Ordered;10000;2.425;56;1.401;31;11.864;32;
0;treapTree;Ordered;10000;0;redBlackTree;Ordered;10000;157.735;8;163.51;129;1.458;15;1.404;33;5.209;8;
35.502;59;
0;avlTree;OrderedInverse;10000;189.926;44;0.617;31;0.591;41;
0;avlTree;AlmostOrdered;10000;175.644;51;0.879;31;1.075;38;
0;treapTree;OrderedInverse;10000;205.277;9;0.821;16;0.465;8;
0;redBlackTree;OrderedInverse;10000;273.754;107;3.127;31;10.709;73;
0;redBlackTree;AlmostOrdered;10000;63.279;113;4.72;40;13.577;53;
0;avlTree;Random;10000;58.772;47;7.889;31;16.211;43;
0;binarySearchTree;Random;10000;58.587;41;5.762;39;14.657;37;
0;treapTree;AlmostOrdered;10000;57.122;12;7.874;16;11.743;11;
0;treapTree;Random;10000;21.342;15;9.849;17;1.553;15;
0;redBlackTree;Random;10000;19.139;65;10.641;32;4.909;52;
0;binarySearch;Ordered;10000;1.294;27;1.749;28;757.047;5032;
0;binarySearch;AlmostOrdered;10000;162.48;662;7.825;28;752.58;4396;
0;binarySearch;OrderedInverse;10000;1052.67;5036;0.566;28;0.387;24;
0;binarySearch;Random;10000;580.591;2516;1.212;28;459.675;2542;
0;linearSearch;OrderedInverse;10000;415.028;5003;530.59;10002;429.762;10003;
0;binarySearchTree;AlmostOrdered;10000;933.451;11269;561.433;11267;0.457;18;
0;linearSearch;Ordered;10000;428.732;5003;883.063;10002;326.599;10003;
0;linearSearch;Random;10000;367.348;5003;802.102;10002;263.266;10003;
0;linearSearch;AlmostOrdered;10000;502.54;5002;652.413;10001;413.183;10002;
0;binarySearchTree;OrderedInverse;10000;1294.91;10001;487.394;9999;0.115;3;
0;binarySearchTree;Ordered;10000;1390.72;15000;443.518;14998;0.137;3;
0;avlTree;Ordered;100000;1621.33;69;129.89;39;105.421;40;
0;treapTree;Ordered;100000;1740.29;12;123.763;21;118.354;10;
0;avlTree;OrderedInverse;100000;1996.09;54;157.31;39;125.308;51;
0;avlTree;AlmostOrdered;100000;1708.9;63;180.768;40;231.654;49;
0;treapTree;OrderedInverse;100000;2192.43;12;15.153;22;150.604;10;
0;redBlackTree;OrderedInverse;100000;2378.96;137;185.802;40;219.817;93;
0;redBlackTree;Ordered;100000;2410.42;165;191.665;41;371.919;74;
0;treapTree;AlmostOrdered;100000;2065.98;15;233.558;20;314.115;15;
0;avlTree;Random;100000;1777.02;59;348.171;40;517.88;55;
0;redBlackTree;AlmostOrdered;100000;2201.31;147;367.664;54;326.037;66;
0;binarySearchTree;Random;100000;1625.37;56;354.316;54;337.146;51;
0;redBlackTree;Random;100000;1610.76;81;337.764;40;256.705;64;
0;treapTree;Random;100000;1393.07;20;450.042;21;265.092;20;
0;binarySearch;AlmostOrdered;100000;16282.4;6291;212.03;36;98668.1;834;
0;binarySearch;Ordered;100000;84.34;34;72.43;36;116313;7092;
0;binarySearch;Random;100000;68640.4;-1404644024;215.625;36;52789.8;-1404644010;
0;binarySearch;OrderedInverse;100000;126187;7096;6.757;36;74.952;31;
0;linearSearch;Ordered;100000;45187.6;7053;82002.1;14102;43394.6;14103;
0;linearSearch;Random;100000;49808.3;7053;80231.9;14102;40782.4;14103;
0;linearSearch;OrderedInverse;100000;50764.9;7053;80935.7;14102;40359.9;14103;
0;linearSearch;AlmostOrdered;100000;51341.1;7052;79563.4;14101;42456.8;14102;
0;binarySearchTree;AlmostOrdered;100000;122066;-1404642429;53989.8;-1404642431;28.528;23;
0;binarySearchTree;OrderedInverse;100000;133688;14101;48864;14099;2.053;3;
0;binarySearchTree;Ordered;100000;143779;21151;41343.5;21149;1.941;3;
0;treapTree;Ordered;1000000;23460.8;14;1912.45;26;1089.74;13;
0;treapTree;OrderedInverse;1000000;27031.9;14;1990.06;25;1428.81;12;
0;avlTree;Ordered;1000000;27675.9;82;2062.48;47;1972.83;47;
0;redBlackTree;Ordered;1000000;26120.5;201;2016.72;49;3594.36;89;
0;avlTree;OrderedInverse;1000000;28462.6;63;2689.24;47;2308.91;61;
0;redBlackTree;OrderedInverse;1000000;30330.7;167;2311.68;48;3644.25;113;
0;avlTree;AlmostOrdered;1000000;30554.6;74;6077.01;49;7387.15;60;
0;redBlackTree;AlmostOrdered;1000000;34845.6;179;6821.91;64;8566.78;78;
0;treapTree;AlmostOrdered;1000000;35011.9;18;9225.75;25;6394.76;19;
0;binarySearchTree;Random;1000000;34716.8;69;13357.5;67;9784.32;64;
0;avlTree;Random;1000000;34792.7;71;12963.3;49;12878.5;67;
0;redBlackTree